0, 0 0 0 0 0 0 0 0 0 0 0 0;
1, 0 0 0 0 0 0 0 0 0 0 0 0;
2, 1 1 1 1 1 1 1 1 1 1 1 1;
3, 2 2 2 2 2 2 2 2 2 2 2 2;
4, 3 3 3 3 3 3 3 3 3 3 3 3;
5, 4 4 4 4 4 4 4 4 4 4 4 4;
6, 5 5 5 5 5 5 5 5 5 5 5 5;
7, 5 5 5 5 5 5 5 5 5 5 5 5;
8, 6 6 6 6 6 6 6 6 6 6 6 6;
9, 6 6 6 6 6 6 6 6 6 6 6 6;
10, 7 7 7 7 7 7 7 7 7 7 7 7;
11, 7 7 7 7 7 7 7 7 7 7 7 7;
12, 8 8 8 8 8 8 8 8 8 8 8 8;
13, 9 9 9 9 9 9 9 9 9 9 9 9;
14, 10 10 10 10 10 10 10 10 10 10 10 10;
15, 11 11 11 11 11 11 11 11 11 11 11 11;
16, 0 0 0 0 0 0 0 0 0 0 0 0;
17, 0 0 0 0 0 0 0 0 0 0 0 0;
18, 2 2 1 2 2 2 2 1 2 2 2 2;
19, 2 2 2 2 1 2 2 2 2 2 2 1;
20, 3 3 3 4 4 3 3 3 4 3 4 3;
21, 4 4 3 4 3 4 4 4 4 3 4 3;
22, 5 5 5 5 5 5 5 5 6 5 5 5;
23, 5 5 5 5 5 6 5 5 5 5 5 5;
24, 6 6 6 6 6 6 6 6 6 6 6 6;
25, 6 6 6 6 6 6 6 6 6 6 6 6;
26, 7 7 6 7 7 7 7 7 7 7 7 7;
27, 7 7 7 7 7 7 7 7 7 7 7 6;
28, 8 8 9 9 9 9 9 8 9 9 9 9;
29, 9 9 9 9 8 9 9 9 9 8 8 8;
30, 10 10 10 11 11 10 10 10 11 11 10 10;
31, 11 11 10 10 10 11 11 10 11 10 10 10;
